Date,"Price, EUR"
2011-06,8200
2010-07,8300
2010-03,8400
2012-07,8470
2013,8500
2013-02,8500
2011-12,8600
2011-07,8600
2009-09,8600
2012,8700
2011,8700
2012-06,8900
2009-12,8990
2010-11,8990
2011-05,9075
2010-11,9200
2010-11,9290
2010-01,9300
2010-11,9400
2011-05,9600
2012-08,9900
2009-03,9900
2012-03,10100
2012-03,10100
2012-09,10285
2011-05,10490
2011-07,10550
2011-06,10890
2012-11,10900
2013,10900
2011,11000
2013-05,11400
2012-04,11500
2012-05,11500
2013-04,11737
2014-10,11900
2013-05,11900
2011-12,11900
2012-06,11990
2014-05,12950
2013-10,12999
2011-08,13000
2013-05,13450
2013-07,15500
2012-11,16500
2014-09,17000
2014-08,18000
2015-06,18500
2013-07,18700
2014-09,26400
2014-05,28800
2013-08,31000
2001,100
1991,290
1988-05,100
1997,200
2015-04,750
1996-12,550
